,city,city_id,country,max_temperature,wind_speed,Cloudiness,Longitude,Latitude,Humidity
511,Puntarenas,3622228,CR,71.6,9.17,40,-84.84,9.98,73
512,Diego de Almagro,3892454,CL,57.43,0.45,0,-70.05,-26.37,49
513,Laibin,1804609,CN,57.97,12.21,0,109.27,23.7,51
514,Trairi,3386177,BR,79.86,11.88,75,-39.27,-3.28,78
515,Hīt,95788,IQ,57.65,5.68,100,42.83,33.64,51
516,Wajir,178443,KE,76.26,10.4,2,40.06,1.75,81
517,Cocorit,4013593,MX,59.36,1.57,0,-109.97,27.58,39
518,Erenhot,2037485,CN,5.83,9.04,0,111.98,43.65,88
519,Terrace Bay,6162951,CA,32.0,5.82,74,-87.1,48.78,95
520,Chaihe,2038198,CN,10.49,8.16,0,129.7,44.77,89
521,Mukhen,2019718,RU,14.34,12.62,94,136.1,48.1,85
522,College,5859699,US,3.2,8.05,75,-147.8,64.86,77
523,Jojoima,2408399,SL,71.55,0.31,71,-10.79,7.88,97
524,Brooks,5909514,CA,42.8,9.17,100,-111.89,50.58,70
525,Balakovo,579492,RU,15.8,6.73,0,47.8,52.03,92
526,Samaná,3492997,DO,73.72,5.23,0,-69.34,19.21,87
527,Safi,2537881,MA,60.12,2.98,0,-9.24,32.3,79
528,Bagdarin,2027244,RU,9.14,2.82,100,113.6,54.43,86
529,Spas-Klepiki,489862,RU,19.71,4.14,0,40.18,55.13,86
530,Pangnirtung,6096551,CA,17.4,3.62,100,-65.71,66.15,87
531,Oriximiná,3393471,BR,77.47,2.15,100,-55.87,-1.77,81
532,Khuzhir,2022143,RU,24.94,12.44,99,107.34,53.19,91
533,Korla,1529376,CN,25.57,3.0,30,86.15,41.76,85
534,Sioux Falls,5231851,US,33.8,5.95,1,-96.7,43.55,59
535,Canutama,3664716,BR,74.57,2.08,98,-64.38,-6.53,94
536,Saint Lawrence,2562619,MT,59.0,12.75,40,14.2,36.06,58
537,Stepnogorsk,1537939,KZ,7.84,19.91,97,71.89,52.35,91
538,Riyadh,108410,SA,48.2,2.24,0,46.72,24.69,76
539,Samarai,2132606,PG,85.84,10.69,14,150.67,-10.62,71
540,Orkney,967476,ZA,66.16,10.56,2,26.67,-26.98,74
541,Kuusamo,649924,FI,28.4,8.05,90,29.18,65.97,86
542,Plouzané,2986626,FR,42.8,11.41,90,-4.62,48.38,75
543,Tacna,3928128,PE,66.2,1.32,0,-70.25,-18.01,72
544,Along,1278969,IN,63.61,0.4,0,94.77,28.17,52
545,Luanda,2240449,AO,75.2,8.05,40,13.23,-8.84,88
546,Deputatsky,2028164,RU,-29.31,4.05,6,139.9,69.3,84
547,Taihe,1793684,CN,48.94,3.71,0,105.38,30.87,69
548,Verāval,1253237,IN,75.43,9.19,100,70.37,20.9,40
549,Dothan,4059102,US,43.0,9.17,1,-85.39,31.22,75
550,Eišiškės,599614,LT,21.99,14.99,90,25.0,54.17,73
551,Nhulunbuy,2064735,AU,89.6,10.29,20,136.77,-12.23,59
552,Orai,1261039,IN,67.98,3.27,0,79.47,25.98,41
553,Mokshan,525659,RU,16.79,6.85,0,44.61,53.44,90
554,Yumen,1528998,CN,21.7,20.69,100,97.2,40.28,90
555,Pacific Grove,5380437,US,63.0,10.29,1,-121.92,36.62,40
556,Iralaya,3608828,HN,76.62,8.75,54,-83.23,15.0,88
557,Les Cayes,3728097,HT,74.77,3.0,56,-73.75,18.2,78
558,Necochea,3430443,AR,68.0,17.4,0,-58.74,-38.55,56
559,Tūkrah,88834,LY,58.03,10.25,0,20.58,32.53,51
560,Taitung City,6949678,TW,73.4,4.7,90,121.14,22.76,88
561,Dodge City,5445298,US,43.0,8.05,1,-100.02,37.75,51
562,Sokołów Podlaski,758626,PL,30.99,22.79,7,22.25,52.41,77
563,Nanortalik,3421765,GL,31.59,9.24,100,-45.24,60.14,90
564,Tiznit Province,2527087,MA,51.64,2.19,0,-9.5,29.58,67
565,Sawtell,2150163,AU,77.0,11.41,40,153.1,-30.38,60
566,Haverfordwest,2647311,GB,37.4,4.7,20,-4.97,51.8,93
567,Merauke,2082539,ID,77.38,6.08,100,140.33,-8.47,89
